            AkinTunde Akinyemi        CSC 24400     Section 11
                     Fall 2016       Assignment #3
--------------------------------------------------------------------------------

The orginal list of student IDs and test scores is:

Student ID #       Test Score
6013               77.62
9022               88.93
8038               92.95
3048               51.86
2050               86.48
6065               65.23
3079               84.83
9088               80.94
1091               85.65
8108               77.98
5119               68.63
4125               86.33
7132               81.92
5140               51.07
6151               72.85
9168               92.59
6175               70.62
9187               68.32
7195               89.32
5208               53.94
9217               95.81
1221               44.51
6236               73.97
5248               84.26
6251               83.93
6267               77.83
5274               91.24
2283               91.74
1296               79.35
6307               64.36
9317               96.36
6322               83.62
2339               82.88
8345               81.86
8350               86.54
5366               66.84
6371               68.39
9389               90.25
5391               77.45
7409               78.57
7413               71.22
8424               80.39
8436               86.67
1444               59.62


The student data sorted highest to lowest by test scores are:

Student ID #       Test Score
9317               96.36
9217               95.81
8038               92.95
9168               92.59
2283               91.74
5274               91.24
9389               90.25
7195               89.32
9022               88.93
8436               86.67
8350               86.54
2050               86.48
4125               86.33
1091               85.65
3079               84.83
5248               84.26
6251               83.93
6322               83.62
2339               82.88
7132               81.92
8345               81.86
9088               80.94
8424               80.39
1296               79.35
7409               78.57
8108               77.98
6267               77.83
6013               77.62
5391               77.45
6236               73.97
6151               72.85
7413               71.22
6175               70.62
5119               68.63
6371               68.39
9187               68.32
5366               66.84
6065               65.23
6307               64.36
1444               59.62
5208               53.94
3048               51.86
5140               51.07
1221               44.51


The student data sorted lowest to highest by student IDs are:

Student ID #       Test Score
1091               85.65
1221               44.51
1296               79.35
1444               59.62
2050               86.48
2283               91.74
2339               82.88
3048               51.86
3079               84.83
4125               86.33
5119               68.63
5140               51.07
5208               53.94
5248               84.26
5274               91.24
5366               66.84
5391               77.45
6013               77.62
6065               65.23
6151               72.85
6175               70.62
6236               73.97
6251               83.93
6267               77.83
6307               64.36
6322               83.62
6371               68.39
7132               81.92
7195               89.32
7409               78.57
7413               71.22
8038               92.95
8108               77.98
8345               81.86
8350               86.54
8424               80.39
8436               86.67
9022               88.93
9088               80.94
9168               92.59
9187               68.32
9217               95.81
9317               96.36
9389               90.25


The lowest test score was 44.51 achieved by student #1221

The highest test score was 96.36 achieved by student #9317

The average test score for the group is 77.86
----------------------------------------
|         END OF PROGRAM OUTPUT        |
----------------------------------------
